id,name
16,La Mesa
25,Vista
24,Solana Beach
21,San Diego
68,San Diego Country Estates
14,Escondido
58,Lake San Marcos
62,Pine Valley
60,Mount Laguna
63,Potrero
45,Casa de Oro-Mount Helix
11,Del Mar
12,El Cajon
36,Alpine
37,Bonita
10,Coronado
51,Granite Hills
13,Encinitas
49,Fairbanks Ranch
50,Fallbrook
48,Eucalyptus Hills
43,Camp Pendleton South
44,Campo
47,Descanso
46,Crest
20,Poway
18,National City
19,Oceanside
17,Lemon Grove
39,Borrego Springs
56,Julian
15,Imperial Beach
53,Hidden Meadows
55,Jamul
38,Bonsall
54,Jacumba
42,Camp Pendleton North
40,Bostonia
52,Harbison Canyon
41,Boulevard
71,Winter Gardens
70,Valley Center
69,Spring Valley
23,Santee
67,Rancho Santa Fe
65,Ramona
64,Rainbow
61,Pala
57,La Presa
59,Lakeside
22,San Marcos
66,Rancho San Diego
9,Chula Vista
8,Carlsbad
